key	ja	ko
MG:29	２やジョーカーは\n最後に残せないように\nなってますから\n気をつけてください。B	２나　조커는\n마지막에　남길　수　없게\n되어　있으니\n조심하세요．B
MG:30	大神さんのカードが\n全部なくなりました！\nおめでとうございます。\n大神さんが大富豪です！I	오오가미　씨　카드가\n전부　없어졌어요！\n축하드려요．\n오오가미　씨가　대부호예요！I
MG:31	上がった人から順番に\n大富豪、富豪……\n貧民……大貧民……\nに、なるんです。B	올라간　사람　순서대로\n대부호，　부호……\n빈민……대빈민……\n이　돼요．B
MG:32	貧民と大貧民に\nなった人は\n富豪と大富豪の人に……c	빈민과　대빈민이\n된　사람은\n부호와　대부호에게……c
MG:33	ジョーカー以外の\n一番強いカードを\n取られちゃいます。B	조커　말고\n가장　강한　카드를\n빼앗겨요．B
MG:34	大富豪と富豪の人は\n好きなカードを\n貧民と大貧民の人と\n交換してください。B	대부호와　부호는\n원하는　카드를\n빈민・대빈민과\n교환해　주세요．B
MG:35	大富豪と大貧民で\n２枚交換、\n富豪と貧民で\n１枚交換です。B	대부호와　대빈민은\n２장　교환，\n부호와　빈민은\n１장　교환이에요．B
MG:36	でも、大富豪の人は\n一番最初に\n上がらないと……c	하지만　대부호는\n가장　먼저\n올라가지　않으면……c
MG:37	一気に大貧民に\n転落しちゃうんです！\n油断は禁物ですよ。B	단숨에　대빈민으로\n떨어져요！\n방심은　금물이에요．B
MG:38	大富豪は４点。\n富豪は、２点。\n貧民は、１点。\n大貧民は０点が……c	대부호는　４점．\n부호는　２점．\n빈민은　１점．\n대빈민은　０점이……c
MG:39	１ゲーム終わるたびに\n加算されます。B	１게임　끝날　때마다\n더해져요．B
MG:40	そして、合計１６点に\n最初に達した人が\n勝ちになるんですよ。B	그리고　합계　１６점에\n먼저　도달한　사람이\n이기는　거예요．B
MG:41	どうですか？\n大富豪のルール、\nおわかりに\nなりましたか？H	어떠세요？\n대부호　규칙，\n이해되셨나요？H
MG:42	それでは、いよいよ勝負です！\nがんばりましょうね！I	그럼　드디어　승부예요！\n힘내자고요！I
MG:43	はいっ！\nがんばります！I	네！\n힘내겠습니다！I
MG:44	それでは、大神さん。\nゲームの流れを\n簡単に説明しますね。B	그럼，　오오가미　씨．\n게임의　흐름을\n간단히　설명할게요．B
MG:45	手前にあるのが\n大神さんのぶんの\n手札です。B	앞에　있는　게\n오오가미　씨　몫의\n손패예요．B
MG:46	弱いカードから\n強いカードの順に\n左から右へ\n並んでるんですよ。B	약한　카드부터\n강한　카드　순으로\n왼쪽에서　오른쪽으로\n늘어서　있어요．B
MG:47	３が一番弱くて\n２が一番強いんです。\nおぼえておいて\nくださいね。B	３이　가장　약하고\n２가　가장　강해요．\n기억해　두세요．B
MG:48	では、次に\nカードの出し方を\n説明します。B	그럼　다음은\n카드　내는　법을\n설명할게요．B
MG:49	まず最初に……\n好きなカードを選んで\n真ん中に出します。B	우선　처음에……\n원하는　카드를　골라\n한가운데에　냅니다．B
MG:50	自分の番なら\n好きな札を、何でも\n出していいんです。B	자기　차례라면\n원하는　패를　뭐든\n내도　괜찮아요．B
MG:51	そうそう！\n同じ数のペアがあれば\n一緒にまとめて\n出せるんですよ！I	맞아요！\n같은　숫자　짝이　있으면\n한꺼번에\n낼　수　있어요！I
MG:52	次の人は、同じ枚数の\nもっと強いカードを\n出さなくては\nいけません。B	다음　사람은　같은　장수의\n더　강한　카드를\n내야만\n해요．B
MG:53	何も出せないときや\nあえて、何も\n出したくないときは\n「パス」になります。B	아무것도　못　낼　때나\n일부러　아무것도\n내고　싶지　않을　때는\n「패스」가　돼요．B
MG:54	パスのやりかたは\nすみれさんに\n聞いてくださいね。B	패스하는　법은\n스미레　씨에게\n물어보세요．B
MG:55	そして、最後に……\n自分のカードが\n全部なくなれば\n「あがり」です。B	그리고　마지막에……\n자기　카드가\n전부　없어지면\n「올라가기」예요．B
MG:56	あがった順番に応じて\n順位と点数が\nついていきます。B	올라간　순서에　따라\n순위와　점수가\n붙어요．B
MG:57	それについては、\n紅蘭がくわしく\n教えてくれますよ。B	그에　대해서는\n코란이　자세히\n알려　줄　거예요．B
MG:58	あたしからの説明は\n以上で終わりです。\nお疲れさまでした！I	제　설명은\n이상으로　끝이에요．\n수고하셨습니다！I
MG:59	あら……\nわたくしに何か\nご用ですの？H	어머……\n저에게　무슨\n볼일이신가요？H
MG:60	それでは、わたくしが\nパスの方法を\nお教えいたしましょう。B	그럼　제가\n패스하는　법을\n알려　드리죠．B
MG:61	相手がカードを出し……\n自分の手札の中に\nそれより強いカードが\nあったとしても……c	상대가　카드를　내고……\n자기　손패　안에\n그보다　강한　카드가\n있다고　해도……c
MG:62	あえて「パス」をして\n強いカードを\nとっておくことが\nできますの。B	일부러　「패스」를　해서\n강한　카드를\n남겨　둘　수\n있답니다．B
MG:63	「パス」をするときには\nカードを選ぶ\nカーソルを……c	「패스」를　할　때는\n카드를　고르는\n커서를……c
MG:64	「パス」のところに\nあわせて、○ボタンを\n押してくださいな。B	「패스」　자리에\n맞추고　○버튼을\n눌러　주세요．B
MG:65	すると、ほら……\nちゃんと、パスが\nできましたでしょう？H	그러면，　보세요……\n제대로　패스가\n되었지요？H
MG:66	もし、自分の手札に\n相手のカードよりも\n強いカードが\nなかったときは……c	만약　자기　손패에\n상대　카드보다\n강한　카드가\n없을　때는……c
MG:67	ちゃんと自動的に\n「パス」になりますの。B	자동으로　알아서\n「패스」가　된답니다．B
MG:68	自分のカードを\n他のみなさんが\nパスしたときには……c	자기　카드에\n다른　분들이\n패스했을　때는……c
MG:69	自分が好きなカードを\n前に出せますから\nゲームの主導権を\nにぎれますわ。B	원하는　카드를\n앞에　낼　수　있으니\n게임의　주도권을\n쥘　수　있답니다．B
MG:70	強いカードを出して\n相手にパスをさせるか？H	강한　카드를　내서\n상대에게　패스를　시킬까？H
MG:71	あえてパスをして\n強いカードを温存するか？\n少尉の判断力が\n問われますわね。B	일부러　패스해서\n강한　카드를　아낄까？\n소위님의　판단력이\n시험받는　거지요．B
MG:72	……わたくしの説明は\n以上で終わりですわ。B	……제　설명은\n이상으로　끝이에요．B
MG:73	少尉との勝負を\n楽しみにしていますわ。\nそれでは、ごきげんよう。B	소위님과의　승부를\n기대하고　있겠어요．\n그럼，　안녕히．B
MG:74	わかりました。\n私でよければ、喜んで。B	알겠습니다．\n저라도　괜찮다면　기꺼이．B
MG:75	それでは、私からは\nゲームの操作方法を\n説明させて\nいただきます。B	그럼　저는\n게임　조작　방법을\n설명해\n드리겠습니다．B
MG:76	まず、カードの\n出しかたです。\n隊長の番が来たときに\nカードを出すには……c	먼저　카드를\n내는　법입니다．\n대장　차례가　왔을　때\n카드를　내려면……c
MG:77	出したいと思うカードに\nカーソルを\nあわせてください。B	내고　싶은　카드에\n커서를\n맞춰　주세요．B
MG:78	○ボタンを押すと\nカードの色が\n変わります。B	○버튼을　누르면\n카드　색이\n바뀝니다．B
MG:79	同じ数のカードを\n同時に何枚か出すときは\nそれぞれのカードに\nカーソルをあわせて……c	같은　숫자　카드를\n동시에　몇　장　낼　때는\n각　카드에\n커서를　맞춰서……c
MG:80	１枚のときと同じように\n○ボタンを\n押してください。B	１장일　때와　똑같이\n○버튼을\n눌러　주세요．B
MG:81	考え直したいときは\n×ボタンを押せば\n選んだカードを\nキャンセルできます。B	다시　생각하고　싶을　땐\n×버튼을　누르면\n고른　카드를\n취소할　수　있습니다．B
MG:82	逆に、そのカードを\n出そうと思ったら\n○ボタンを\n押してください。B	반대로　그　카드를\n내려고　마음먹었다면\n○버튼을\n눌러　주세요．B
MG:83	こうしてカードを前に出し\n自分の手札がなくなれば\n「あがり」になります。B	이렇게　카드를　내서\n손패가　없어지면\n「올라가기」가　됩니다．B
MG:84	ただし、隊長。\n実は、私たちの\nルールでは……c	다만　대장님．\n실은　저희\n규칙에서는……c
MG:85	２とジョーカーで\n最後にあがることは\n禁じ手になっています。B	２와　조커로\n마지막에　오르는　것은\n금지된　수입니다．B
MG:86	これらのカードを\nいつ、どうやって\n出していくか……c	이　카드들을\n언제，　어떻게\n내느냐……c
MG:87	ここが、勝敗の\n大きな分かれめです。\nよく考えてくださいね。B	여기가　승패의\n큰　갈림길입니다．\n잘　생각해　주세요．B
MG:88	「カード交換」を\nするときも\n今と同じ方法で\n大丈夫です。B	「카드　교환」을\n할　때도\n지금과　같은　방법이면\n괜찮습니다．B
MG:89	カード交換については\n織姫に聞いてみると\nいいでしょう。B	카드　교환에　대해서는\n오리히메에게　물어보면\n좋을　겁니다．B
MG:90	……操作方法についての\n私の説明は\n以上で終わりです。B	……조작　방법에　대한\n제　설명은\n이상으로　끝입니다．B
MG:91	それでは、隊長。\nまた、後で\nお会いしましょう。B	그럼　대장님．\n나중에　또\n뵙겠습니다．B
MG:92	よっ、隊長！\nあたいは\n「革命」ってルールを\n教えてやるよ。B	어이，　대장！\n난　「혁명」이란　규칙을\n가르쳐　주지．B
MG:93	革命というのは……\nっとっとっと！\n何だよ、いきなり\n革命が出やがった！I	혁명이란　건……\n어어어！\n뭐야，　다짜고짜\n혁명이　나와　버렸잖아！I
MG:94	同じ数のカードが\n４枚、出てるだろ？\nこれを「革命」って\nいうんだよ。B	같은　숫자　카드가\n４장　나왔지？\n이걸　「혁명」이라고\n하는　거야．B
MG:95	「革命」が起きると\nなんと、その瞬間から\nカードの強さが\n逆になっちまうんだ！I	「혁명」이　일어나면\n놀랍게도　그　순간부터\n카드의　세기가\n뒤집혀　버려！I
MG:96	……といっても、\nジョーカーだけは\nいつも一番強いんだ。B	……그래도\n조커만은\n항상　가장　강해．B
MG:97	このへんのことは\nアイリスがくわしいぜ。\n聞いてみたらどうだい？H	이쪽　얘긴\n아이리스가　잘　알아．\n물어보는　게　어때？H
MG:98	で、革命の話に\n戻るけど……\n強さが逆転するって\nことは、つまり……c	자，　혁명　얘기로\n돌아가면……\n세기가　뒤집힌다는　건\n다시　말해……c
MG:99	それまで一番\n強かった「２」が\n一番弱くなって……c	그때까지　가장\n강했던　「２」가\n가장　약해지고……c
MG:100	逆に、一番弱かった\n「３」のヤツが\n一番強くなるんだ！I	반대로　가장　약했던\n「３」이란　녀석이\n가장　강해지는　거야！I
MG:101	一気に、形勢逆転！\n……ってわけだな。\nどうだい、すごいだろ？H	단숨에　형세　역전！\n……이런　거지．\n어때，　대단하지？H
MG:102	配られたカードが\n３や４ばかりでも\n革命が起これば\n大逆転も夢じゃない。B	받은　카드가\n３이나　４뿐이어도\n혁명이　일어나면\n대역전도　꿈이　아니야．B
MG:103	革命を起こして\n一気に有利になるか\nはたまた、一気に\nドン底か……c	혁명을　일으켜\n단숨에　유리해질까\n아니면　단숨에\n밑바닥일까……c
MG:104	ま、何だかんだ言って\n運もあるから\nあんまり難しく\n考えなくてもいいよ。B	뭐，　이러니저러니　해도\n운도　있으니까\n너무　어렵게\n생각　안　해도　돼．B
MG:105	あたいの説明は\nこれで終わりさ。\nどうだい？\nわかりやすかったかい？H	내　설명은\n이걸로　끝이야．\n어때？\n알기　쉬웠어？H
MG:106	じゃあ、またな。\n隊長との勝負を\n楽しみにしてるよ！I	그럼　또　보자고．\n대장과의　승부를\n기대하고　있을게！I
MG:107	やっほー！\nアイリスでーす！\nジャンポールも\nいっしょだよ！I	야호！\n아이리스예요！\n장　폴도\n같이　있어！I
MG:108	えへへっ！\nそれじゃ、アイリスが\nいいことを\n教えてあげるね！I	에헤헷！\n그럼　아이리스가\n좋은　걸\n가르쳐　줄게！I
MG:109	それは……これ！\nジョーカーっていう\nカードのことだよ！I	그건……이거！\n조커라는\n카드　얘기야！I
MG:110	ジョーカーって、\nどのカードにも勝てる\nとっても強い\nカードなの。B	조커는\n어떤　카드한테도　이기는\n아주　강한\n카드야．B
MG:111	「かくめい」がおきても\nずーっと強いんだよ！\n……あっ、そうだ。B	「혁명」이　일어나도\n계속　강하다고！\n……아，　맞다．B
MG:112	「かくめい」のことは\nカンナが\n教えてくれるよ！I	「혁명」　얘기는\n칸나가\n가르쳐　줄　거야！I
MG:113	あっ、わすれてた！\nジョーカーには\nもう一つ、だいじな\nつかいかたがあるの！I	앗，　잊고　있었다！\n조커한테는\n또　하나，　중요한\n쓰는　법이　있어！I
MG:114	同じ数のペアが\nないときでも\nこうやって\nくっつけると……c	같은　숫자　짝이\n없을　때도\n이렇게\n붙이면……c
MG:115	キャハ！\nほら、ペアが\nできちゃった！I	캬핫！\n봐，　짝이\n생겨　버렸어！I
MG:116	お兄ちゃん、わかった？\nジョーカーって\n何のカードにでも\nなれるんだよ！I	오빠，　알겠어？\n조커는\n어떤　카드도\n될　수　있어！I
MG:117	これなら、３まい\nいっしょに出すことも\nかんたんだね！I	이러면　３장\n같이　내는　것도\n간단하지！I
MG:118	ジョーカーは\nすごいカードだけど\nたった一枚しかないの。B	조커는\n굉장한　카드지만\n딱　한　장밖에　없어．B
MG:119	つかうときには\nよーく考えてね！I	쓸　때는\n잘　생각해！I
MG:120	それじゃ、お兄ちゃん。\nあとで、いっしょに\n遊ぼーね！I	그럼　오빠．\n이따　같이\n놀자！I
MG:121	アイリスが教えたこと\n忘れちゃダメだよ！I	아이리스가　가르쳐　준　거\n잊으면　안　돼！I
MG:122	よっしゃ！\nほんなら始めよか！I	좋았어！\n그럼　시작해　볼까！I
MG:123	ウチが教えるんは\n勝ち負けの結果に\nついてやけど……あっ！I	내가　알려　줄　건\n승패　결과에\n대해선데……앗！I
MG:124	やるやないか！\n大神はん、あがりや！I	제법인데！\n오오가미　씨，　올라갔네！I
MG:125	一番最初に\nあがった人は\n「大富豪」に\nなれるんや。B	가장　먼저\n올라간　사람은\n「대부호」가\n되는　기라．B
MG:126	あがった人から順番に\n「大富豪」「富豪」\n「貧民」「大貧民」と\n名前がついて……c	올라간　사람　순서대로\n「대부호」「부호」\n「빈민」「대빈민」이라고\n이름이　붙고……c
MG:127	順番に応じて\nこんな風に\n点数が入っていくんや。B	순서에　따라\n이런　식으로\n점수가　들어가는　기라．B
MG:128	大富豪　４点\n富豪　　２点\n貧民　　１点\n大貧民　０点_	대부호　４점\n부호　　２점\n빈민　　１점\n대빈민　０점_
MG:129	１ゲームごとに\n得点が加算されて……c	１게임마다\n점수가　더해져서……c
MG:130	一番最初に\n１６点とった人が\n勝ちになるんや！I	가장　먼저\n１６점　딴　사람이\n이기는　기라！I
MG:131	１６点とって\n１位になったら\n見事、勝ち抜きと\nいうことで……c	１６점　따서\n１위가　되면\n멋지게　통과라는\n뜻이니까……c
MG:132	次の勝負に\n進めるんやで。B	다음　승부로\n나아가는　기라．B
MG:133	１６点とるためには\n大富豪になるのに\nこしたことは\nないんやけど……c	１６점　따려면\n대부호가　되는　게\n제일　좋긴　한데……c
MG:134	ウチらの特製ルール……\n転落ルールちゅうのが\n実は、あるんや。B	우리　특제　규칙……\n전락　규칙이란　게\n실은　있는　기라．B
MG:135	そのへんは、\nレニがくわしく\n教えてくれるで。B	그쪽은\n레니가　자세히\n가르쳐　줄　기다．B
MG:136	ほんならな！\nまあ、楽しくやりまひょ！I	그럼　이만！\n뭐，　즐겁게　하자고！I
MG:137	チャオ、少尉さん！\nわたしに何を\n教えてほしいですかー？H	차오，　소위님！\n저한테　뭘\n배우고　싶으신가요오？H
MG:138	それじゃ、わたしは\n「カード交換」のことを\n教えてあげまーす。B	그럼　저는\n「카드　교환」을\n가르쳐　드릴게요오．B
MG:139	貧民になった人は\n手札の中で\n一番いいカードを……c	빈민이　된　사람은\n손패　중에서\n가장　좋은　카드를……c
MG:140	富豪の人に\nとられてしまうでーす！I	부호에게\n빼앗겨　버려요오！I
MG:141	でも、ジョーカーだけは\nとられませんから\n安心してくださーい。B	하지만　조커만은\n빼앗기지　않으니\n안심하세요오．B
MG:142	逆に、富豪の人は\n自分でいらないカードを\n選べまーす。B	반대로　부호는\n자기가　필요　없는　카드를\n고를　수　있어요오．B
MG:143	そうそう、大貧民の人は\n大富豪の人に、２枚も\n強いカードを\nとられてしまいまーす！I	맞다，　대빈민은\n대부호에게　２장이나\n강한　카드를\n빼앗겨　버려요오！I
MG:144	貧民と大貧民の人は\n弱くなっちゃって\nかわいそうですけど……c	빈민과　대빈민은\n약해져　버려서\n딱하긴　하지만요오……c
MG:145	頭を使えば、\nたとえ大貧民からでも\nちゃんと勝つことは\nできまーす。B	머리를　쓰면\n설령　대빈민이라도\n제대로　이길　수는\n있어요오．B
MG:146	まあ、わたしは\n大貧民なんかに\nなることはないから……c	뭐，　저는\n대빈민　같은　건\n될　일이　없으니까요오……c
MG:147	カードをとられる\n心配なんかする必要は\n全然ナッシング！I	카드를　빼앗길\n걱정　같은　건\n전혀　낫싱！I
MG:148	革命にそなえて\n３はとっておくとか……c	혁명에　대비해\n３은　남겨　둔다든가……c
MG:149	余裕をもって\nカード交換を\nしたいですねー。B	여유를　가지고\n카드　교환을\n하고　싶네요오．B
MG:150	……さあ、少尉さん。\nわたし、こんな説明\nやってるよりも……c	……자，　소위님．\n저，　이런　설명\n하고　있는　것보다……c
MG:151	はやく遊びたいでーす！\nさっさと始めましょー！I	빨리　놀고　싶어요오！\n얼른　시작해요오！I
MG:152	それじゃ……\nボクは、転落ルールを\n教えてあげるよ。B	그럼……\n나는　전락　규칙을\n가르쳐　줄게．B
MG:153	戦況というものは\n刻一刻と\n変化していく。B	전황이라는　것은\n시시각각\n변해　간다．B
MG:154	たとえ、\n隊長が大富豪に\nなったとしても……c	설령\n대장이　대부호가\n되었다고　해도……c
MG:155	戦いに、\n油断は禁物だ。B	싸움에\n방심은　금물이다．B
MG:156	圧倒的に有利な\n大富豪にも\n弱点が一つある。B	압도적으로　유리한\n대부호에게도\n약점이　하나　있다．B
MG:157	大富豪は、常に\n一番最初に\n勝ちつづけなければ\nならないんだ。B	대부호는　항상\n가장　먼저\n계속　이겨야만\n한다．B
MG:158	もし、他の誰かに\n先にあがられたら……c	만약　다른　누군가에게\n먼저　올라가지면……c
MG:159	大富豪は、一気に\n大貧民に落ちてしまう。\nこれが転落ルールだ。B	대부호는　단숨에\n대빈민으로　떨어진다．\n이게　전락　규칙이다．B
MG:160	大貧民に転落したら\nそのゲームは強制的に\n終了する。B	대빈민으로　떨어지면\n그　게임은　강제로\n종료한다．B
MG:161	たとえ大富豪でも\nいつ、大貧民に\n転落するかわからない。B	설령　대부호라도\n언제　대빈민으로\n떨어질지　알　수　없다．B
MG:162	もちろん、この方法で\n他の誰かを大富豪から\n転落させることも\n可能だよ。B	물론　이　방법으로\n다른　누군가를　대부호에서\n떨어뜨리는　것도\n가능하다．B
MG:163	大富豪の人は\nいつも危険と\nとなりあわせ。B	대부호는\n늘　위험과\n이웃하고　있다．B
MG:164	転落ルールのことを\n忘れないようにね。B	전락　규칙을\n잊지　않도록．B
MG:165	ボクの説明は\n以上で終わり。\nあとは、実戦の経験を\n積むといいと思う。B	내　설명은\n이상으로　끝．\n나머지는　실전　경험을\n쌓는　게　좋다고　본다．B
